날짜,기온(°C),습도(%),강수량(mm)
2025-03-22,14.1,49.10526315789474,0.0
2025-03-23,16.647368421052633,44.578947368421055,0.0
2025-03-24,16.278947368421054,55.26315789473684,0.0
2025-03-25,13.484210526315788,60.578947368421055,0.0
2025-03-26,16.7,40.68421052631579,0.0
2025-03-27,14.221052631578948,62.421052631578945,0.2
2025-03-28,7.626315789473685,38.89473684210526,0.1
2025-03-29,3.805263157894737,39.526315789473685,0.0
2025-03-30,4.178947368421053,48.21052631578947,0.0
2025-03-31,8.91578947368421,44.68421052631579,0.0
2025-04-01,11.357894736842105,48.05263157894737,0.0
2025-04-02,9.836842105263159,51.10526315789474,0.0
2025-04-03,11.021052631578948,53.89473684210526,0.0
2025-04-04,11.563157894736841,49.78947368421053,0.0
2025-04-05,8.042105263157895,85.63157894736842,22.8
2025-04-06,11.005263157894737,63.05263157894737,0.0
2025-04-07,14.657894736842104,49.89473684210526,0.0
2025-04-08,14.715789473684211,48.36842105263158,0.0
2025-04-09,13.594736842105263,48.0,0.7999999999999999
2025-04-10,14.042105263157895,56.63157894736842,0.0
2025-04-11,17.599999999999998,46.36842105263158,0.0
2025-04-12,14.0,63.31578947368421,13.100000000000001
2025-04-13,5.405263157894737,69.05263157894737,6.5
2025-04-14,5.242105263157894,84.36842105263158,7.4
2025-04-15,9.278947368421052,64.89473684210526,0.0
2025-04-16,15.789473684210526,54.21052631578947,0.0
2025-04-17,20.457894736842103,59.526315789473685,0.0
2025-04-18,19.157894736842106,64.84210526315789,0.0
2025-04-19,15.88421052631579,87.0,9.2
2025-04-20,18.157894736842106,66.0,0.0
2025-04-21,21.710526315789473,61.10526315789474,0.0
2025-04-22,17.98421052631579,88.21052631578948,34.8
2025-04-23,18.13157894736842,57.31578947368421,0.0
2025-04-24,15.721052631578948,48.21052631578947,0.0
2025-04-25,13.631578947368421,33.78947368421053,0.0
2025-04-26,14.93157894736842,48.36842105263158,0.0
2025-04-27,15.773684210526316,44.36842105263158,0.0
2025-04-28,16.205263157894734,40.78947368421053,0.0
2025-04-29,16.226315789473684,29.68421052631579,0.0
2025-04-30,20.073684210526313,32.05263157894737,0.0
2025-05-01,14.768421052631581,74.84210526315789,21.1
2025-05-02,14.278947368421052,54.421052631578945,0.0
2025-05-03,11.75263157894737,76.84210526315789,7.3
2025-05-04,14.81578947368421,55.473684210526315,0.0
2025-05-05,12.836842105263159,61.26315789473684,0.0
2025-05-06,15.594736842105263,52.26315789473684,0.0
2025-05-07,16.16842105263158,57.421052631578945,0.0
2025-05-08,18.81578947368421,48.05263157894737,0.0
2025-05-09,15.04736842105263,84.6842105263158,17.1
2025-05-10,12.436842105263159,95.6842105263158,14.6
2025-05-11,15.484210526315788,73.94736842105263,0.0
2025-05-12,18.336842105263155,56.8421052631579,0.0
2025-05-13,21.36842105263158,42.578947368421055,0.0
2025-05-14,22.147368421052633,47.78947368421053,0.0
2025-05-15,19.836842105263155,78.3157894736842,1.1
2025-05-16,19.66842105263158,92.63157894736842,51.3
2025-05-17,19.057894736842105,83.63157894736842,2.2
2025-05-18,16.642105263157895,55.526315789473685,0.0
2025-05-19,16.900000000000002,67.42105263157895,1.3
2025-05-20,22.69473684210526,84.63157894736842,1.3
2025-05-21,26.294736842105266,72.10526315789474,0.0
2025-05-22,24.66842105263158,63.78947368421053,0.7999999999999999
2025-05-23,20.205263157894734,50.8421052631579,1.2
2025-05-24,16.294736842105266,65.94736842105263,4.3
2025-05-25,18.621052631578948,56.473684210526315,0.0
2025-05-26,20.989473684210527,54.21052631578947,0.0
2025-05-27,22.068421052631578,53.31578947368421,0.0
2025-05-28,21.821052631578947,57.10526315789474,0.0
2025-05-29,22.542105263157897,54.05263157894737,0.0
2025-05-30,23.426315789473687,50.473684210526315,0.0
2025-05-31,22.73157894736842,53.05263157894737,0.0
2025-06-01,23.810526315789474,53.63157894736842,0.0
2025-06-02,21.352631578947367,63.1578947368421,0.0
2025-06-03,21.73157894736842,53.421052631578945,0.0
2025-06-04,21.46315789473684,49.05263157894737,0.0
2025-06-05,23.05263157894737,45.473684210526315,0.0
2025-06-06,25.189473684210526,39.473684210526315,0.0
2025-06-07,24.69473684210526,60.10526315789474,0.1
2025-06-08,25.826315789473682,65.89473684210526,0.6
2025-06-09,25.42105263157895,61.8421052631579,0.0
2025-06-10,22.257894736842104,70.26315789473684,0.0
2025-06-11,23.98421052631579,49.31578947368421,0.0
2025-06-12,27.031578947368423,45.578947368421055,0.0
2025-06-13,25.026315789473685,57.526315789473685,1.5
2025-06-14,26.542105263157897,64.15789473684211,0.0
2025-06-15,27.373684210526317,65.42105263157895,8.899999999999999
2025-06-16,23.189473684210526,87.10526315789474,22.9
2025-06-17,25.63684210526316,69.15789473684211,0.0
2025-06-18,26.53684210526316,61.10526315789474,0.0
2025-06-19,29.189473684210526,54.78947368421053,0.8
2025-06-20,24.54736842105263,90.63157894736842,50.7
2025-06-21,22.36842105263158,87.15789473684211,0.6000000000000001
2025-06-22,24.473684210526315,65.05263157894737,0.0
2025-06-23,27.247368421052634,60.68421052631579,0.0
2025-06-24,25.7,60.68421052631579,2.3
2025-06-25,21.152631578947368,89.15789473684211,8.0
2025-06-26,22.51578947368421,84.05263157894737,1.1
2025-06-27,25.457894736842103,76.15789473684211,0.0
2025-06-28,25.7,78.0,0.0
